Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
573.24424,EKP,R,,S,,,,R,R,,R,,R,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
72407.2828,EKP,S,,S,S,S,R,,,S,,S,S,S,R,S,,,S,R,,,R,R,S,S,R,,,,,,,,,,
573.29869,EKP,,,S,,R,,,R,,R,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
72407.2184,EKP,S,,R,S,S,S,,,S,,,R,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66513,EKP,,,S,,R,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.65994,EKP,,S,R,,,,,,,R,R,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66313,EKP,,R,R,R,,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2587,EKP,S,,S,S,S,S,,,,,S,S,S,S,S,,,S,S,,,S,S,S,S,S,,,,,,,,,,
573.46361,EKP,,R,,,R,,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
573.46865,EKP,,,,R,,,,,R,,,,S,,,,R,R,S,,R,,R,,,,,R,,,,,,,,
573.46326,EKP,S,S,,,S,,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
573.66258,EKP,,S,R,,,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2484,EKP,S,,,,S,S,,,R,R,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.29991,EKP,R,,R,,R,,,,,R,,,R,,,,,,R,,S,,,,,,,,,,,,,,,
573.55251,EKP,,R,R,,R,,,R,,,,,S,R,,,,R,,,,,,,,,,,,,,,,,,
573.66517,EKP,,,R,R,R,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.29879,EKP,,,R,,,,,R,,R,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
573.46349,EKP,R,,,,R,,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
573.24449,EKP,,S,R,,,S,R,R,,,,,S,R,,R,R,R,S,,,,R,R,,,,,,R,,,,,,
72407.272,EKP,S,,R,S,,S,,S,,,S,,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.66314,EKP,,R,R,,R,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
574.77,EKP,,,,,S,R,,,,,,S,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.186,EKP,R,R,,R,S,R,R,R,R,R,,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.4144,EKP,S,,,,,,,,,S,R,,,S,R,,R,S,R,,,,,,,,,,,,,,,,,
573.4208,EKP,S,,S,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.66095,EKP,,,S,,,,,,R,R,S,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.4225,EKP,,,R,,,,,,,R,,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
72407.2197,EKP,,S,,,,S,R,,R,,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.273,EKP,R,S,R,R,S,R,R,R,,R,S,S,R,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,R,,
573.4102,EKP,S,,,,,,,,,,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
72407.2681,EKP,,,,,S,,,,R,,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
