Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
573.66337,EKP,,S,,R,,,,R,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.29931,EKP,,R,S,,R,,,R,,R,,,S,,,,,,R,,S,,,,,,,,,,,,,,,
573.29944,EKP,R,S,,,R,,,R,,R,,,S,,,,,,R,,S,,,,,,,,,,,,,,,
72407.2326,EKP,,,S,,,S,R,,S,,S,,S,S,R,,,R,R,,,S,S,S,R,R,,,,,,,,,,
573.5638,EKP,R,S,,R,R,,R,,R,R,,R,R,R,,R,,R,R,,,,,,R,,,,R,R,,,,,,
573.66466,EKP,,,,R,R,,,R,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2845,EKP,S,,,,S,R,R,,R,,S,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66047,EKP,S,,,R,S,S,,,R,R,,R,R,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.65913,EKP,,S,S,,S,S,R,,S,S,,S,S,S,S,,,S,S,,,S,S,S,R,R,,,,,,,,,,
573.20064,EKP,,,,R,S,,,,,,,,R,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
72407.2402,EKP,,,S,R,,,,,S,,,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.5767,EKP,R,R,S,R,R,,R,,R,R,R,R,R,R,,R,,R,,,,,,,R,,,,R,R,,,,,,
72407.2391,EKP,,S,,,,S,,,,,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66351,EKP,,R,S,R,R,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2378,EKP,S,S,,,,,R,,S,,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66387,EKP,,R,S,,R,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.46857,EKP,,R,,,S,R,R,R,R,R,,,S,,,,R,R,S,,R,,R,,,,,R,,,,,S,,,
573.9724,EKP,R,R,R,R,S,R,R,R,R,R,R,R,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.66095,EKP,,,S,,,,,,R,R,S,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66325,EKP,,,,R,,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.228,EKP,S,S,R,,,S,R,R,R,R,R,R,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,R,,
573.66262,EKP,,R,,R,,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2384,EKP,,S,,,,R,,,,R,S,R,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2442,EKP,S,,S,R,,,R,,,R,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.31602,EKP,R,,R,,,,,R,,R,R,,R,R,,R,R,R,R,,,,,,,,,,,,,,,,,
72407.2568,EKP,,S,,R,,S,R,,S,S,,,S,R,S,,,S,S,,,R,R,S,R,R,,,,,,,,,,
573.29943,EKP,R,,R,,R,,,R,,R,,,R,,,,,,R,,S,,,,,,,,,,,,,,,
573.4123,EKP,S,,,,,,,,,,,,,R,R,,S,R,R,,,,,,,,,,,,,,,,,
574.9,EKP,,S,,,,,R,,S,R,R,S,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.5647,EKP,R,R,,R,R,,R,,,,R,R,R,R,,R,,R,,,,,,,R,,,,R,R,,,,,,
72407.2398,EKP,,,,R,S,,,,R,R,,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2584,EKP,S,S,,,,R,,,R,,S,R,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
72407.251,EKP,S,,R,,S,,R,R,,S,S,,S,R,S,,,R,R,,,R,R,S,S,R,,,,,,,,R,,
72407.2649,EKP,,,,,S,,,,R,,S,,R,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
72407.2266,EKP,S,,,,S,S,R,,,R,,,S,R,S,,,R,S,,,R,R,S,R,R,,,,,,,,,,
72407.2547,EKP,,S,,R,,,R,,R,,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2537,EKP,S,,S,R,,,R,,R,,,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66045,EKP,S,,S,R,,,R,,R,,R,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24336,EKP,R,S,,,S,,R,,,R,R,R,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.65973,EKP,,S,,,,S,,,R,R,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.46414,EKP,S,,,R,S,,,,,,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
72407.2738,EKP,S,,,,S,S,,,,,,,S,R,S,,,S,S,,,R,R,S,R,S,,,,,,,,,,
573.66266,EKP,,,,,,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2296,EKP,S,,,R,S,,R,,R,R,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2221,EKP,S,,,,S,S,R,,S,,S,,S,R,R,,,S,R,,,R,S,S,R,R,,,,,,,,,,
573.4186,EKP,S,,S,,,,,,,,,,,S,S,,S,S,R,,,,,,,,,,,,,,,,,
72407.2205,EKP,S,S,S,,,S,,,,,S,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2482,EKP,,,S,R,,,,,,,R,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.30007,EKP,,R,R,,R,,,,,R,,,R,,,,,,R,,S,,,,,,,,,,,,,,,
573.30015,EKP,R,R,S,,R,,,R,,R,,,S,,,,,,R,,S,,,,,,,,,,,,,,,
72407.2853,EKP,S,,S,,S,,R,,R,R,R,R,S,R,R,,,R,S,,,R,R,S,R,R,,,,,,,,,,
573.24436,EKP,R,R,R,,S,R,,,R,R,,,S,R,,R,R,R,S,,,,R,R,,,,,,R,,,,,,
573.46379,EKP,,,,R,R,R,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
72407.165,EKP,,R,,R,,,,R,,,R,,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.4228,EKP,S,,R,,,,,,,,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
573.46334,EKP,S,,,,R,R,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
72407.1435,EKP,S,,R,R,S,R,,,,,,,,R,,,,R,S,,,,,,,,,,,,,,,,,
72407.242,EKP,S,S,R,,S,,R,R,,R,S,R,S,R,S,,,R,S,,,R,R,S,R,R,,,,,,,,R,,
1304918.4,EKP,R,R,S,R,S,R,R,R,R,R,R,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.22555,EKP,,,,,S,,R,S,,,R,,S,R,,,R,S,R,,,,,,,,,,,,,,,,,
72407.2825,EKP,,S,,R,,,,,,,S,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2761,EKP,,S,R,R,,,R,,,,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2418,EKP,S,S,S,,,S,R,,,,S,,S,R,S,,,R,S,,,R,R,S,S,R,,,,,,,,,,
72407.2248,EKP,S,,S,S,S,S,R,,,,S,S,S,S,S,,,S,S,,,S,S,S,S,R,,,,,,,,,,
72407.2577,EKP,,,S,R,,S,R,,,,,,S,R,S,,,R,R,,,R,R,S,S,R,,,,,,,,,,
72407.2609,EKP,,,,S,,S,,,,R,S,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66399,EKP,,,,R,,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2536,EKP,S,,S,R,S,S,R,,,,S,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.4127,EKP,,,R,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.29862,EKP,,,,,R,,R,R,,R,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
72407.2354,EKP,,,R,,S,,,,R,,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
574.98,EKP,,,,R,,,R,,R,,S,S,R,R,S,,,R,R,,,R,R,S,S,R,,,,,,,,,,
573.66381,EKP,,R,S,R,,,,R,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66446,EKP,,R,,,,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.237,EKP,S,R,R,,S,R,R,,R,,R,,R,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,R,,
72407.264,EKP,S,R,,R,,S,R,,R,R,R,R,S,R,S,,,R,S,,,R,R,S,R,R,,,,,,,,R,,
573.66078,EKP,,,S,R,S,S,R,,,S,R,,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.46835,EKP,,,R,,R,,,,S,,R,,S,,,,R,R,R,,R,,R,,,,,R,,,,,S,,,
573.4217,EKP,,,,,,,,,,R,,,,S,R,,R,S,R,,,,,,,,,,,,,,,,,
573.4185,EKP,S,,,,,,,,,R,,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
1284814.3,EKP,S,R,S,R,S,R,R,R,R,R,R,R,R,R,,,,R,S,,,,,S,,,,,,,,,,R,,
72407.2215,EKP,S,,S,,,S,,,,,,,S,R,S,,,S,R,,,R,R,S,S,R,,,,,,,,,,
72407.2289,EKP,S,S,,,,S,,,,,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2494,EKP,S,S,R,R,,,,,,,,R,R,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24407,EKP,R,S,,R,S,,,R,,,,,R,R,,R,R,R,S,,,,R,R,,,,,,R,,,,,,
